tconst,Year,IMDb rating,Movie title,rotten_tomatoes_link,Director name,movie_title,tomatometer_status,Rotten Tomatoes rating
tt0023551,1932,7.0,Tarzan the Ape Man,,W.S. Van Dyke,,,
tt0023563,1933,7.9,The Testament of Dr. Mabuse,,Fritz Lang,,,
tt0023622,1932,8.0,Trouble in Paradise,,Ernst Lubitsch,,,
tt0023649,1932,7.4,Vampyr,,Carl Theodor Dreyer,,,
tt0023694,1932,6.3,White Zombie,m/white_zombie,Victor Halperin,White Zombie,Fresh,86.0
tt0023775,1933,7.5,Baby Face,m/baby_face,Alfred E. Green,Baby Face,Fresh,100.0
tt0023940,1933,7.4,Design for Living,,Ernst Lubitsch,,,
tt0023948,1933,7.5,Dinner at Eight,m/1005875-dinner_at_eight,George Cukor,Dinner at Eight,Fresh,90.0
tt0023969,1933,7.8,Duck Soup,m/duck_soup,Leo McCarey,Duck Soup,Certified-Fresh,92.0
tt0024034,1933,7.3,42nd Street,m/42nd_street,Lloyd Bacon,42nd Street,Fresh,96.0
tt0024069,1933,7.7,Gold Diggers of 1933,m/gold_diggers_of_1933,Mervyn LeRoy,Gold Diggers of 1933,Fresh,100.0
tt0024184,1933,7.6,The Invisible Man,m/1010695-invisible_man,James Whale,The Invisible Man,Certified-Fresh,94.0
tt0024216,1933,7.9,King Kong,m/1011615-king_kong,Merian C. Cooper,King Kong,Certified-Fresh,98.0
tt0024216,1933,7.9,King Kong,m/1011615-king_kong,Ernest B. Schoedsack,King Kong,Certified-Fresh,98.0
tt0024264,1933,7.2,Little Women,m/1012524-little_women,George Cukor,Little Women,Fresh,94.0
tt0024481,1933,7.5,Queen Christina,m/queen_christina,Rouben Mamoulian,Queen Christina,Fresh,90.0
tt0024548,1933,6.3,She Done Him Wrong,m/she_done_him_wrong,Lowell Sherman,She Done Him Wrong,Fresh,91.0
tt0024601,1933,7.5,Sons of the Desert,,William A. Seiter,,,
tt0024844,1934,7.8,L'Atalante,m/latalante,Jean Vigo,L'Atalante,Fresh,100.0
tt0024852,1934,7.1,March of the Wooden Soldiers,,Gus Meins,,,
tt0024852,1934,7.1,March of the Wooden Soldiers,,Charley Rogers,,,
tt0024894,1934,6.9,The Black Cat,,Edgar G. Ulmer,,,
tt0025164,1934,7.4,The Gay Divorcee,m/gay_divorcee,Mark Sandrich,The Gay Divorcee,Fresh,93.0
tt0025316,1934,8.1,It Happened One Night,m/it_happened_one_night,Frank Capra,It Happened One Night,Certified-Fresh,98.0
tt0025452,1934,6.7,The Man Who Knew Too Much,m/the_man_who_knew_too_much,Alfred Hitchcock,The Man Who Knew Too Much,Fresh,88.0
tt0025452,1934,6.7,The Man Who Knew Too Much,m/the_man_who_knew_too_much_1956,Alfred Hitchcock,The Man Who Knew Too Much,Fresh,87.0
tt0025586,1934,7.0,Of Human Bondage,,John Cromwell,,,
tt0025746,1934,7.5,The Scarlet Empress,,Josef von Sternberg,,,
tt0025878,1934,7.9,The Thin Man,m/thin_man,W.S. Van Dyke,The Thin Man,Fresh,97.0
tt0025913,1935,7.2,The Triumph of the Will,,Leni Riefenstahl,,,
tt0025919,1934,7.3,Twentieth Century,m/twentieth_century,Howard Hawks,Twentieth Century,Fresh,86.0
tt0026029,1935,7.6,The 39 Steps,m/1000121-39_steps,Alfred Hitchcock,The 39 Steps,Certified-Fresh,96.0
