level_0,index,tconst,startYear_x,runtimeMinutes_x,genres_x,averageRating,numVotes,primaryTitle,genres,startYear_st,runtimeMinutes_st,averageRating_st,numVotes_st,genre_clean,action,adult,adventure,animation,biography,comedy,crime,documentary,drama,family,fantasy,fi,history,horror,music,musical,mystery,news,reality,romance,sci,sport,thriller,tv,war,western
2281,47525,tt0090887,1986,86,"Comedy,Horror,Sci-Fi",6.1,36136.0,Critters,Comedy,0.6635514018691566,0.07869481765834933,0.5862068965517242,0.011358436602698585,"Comedy , Horror , Sci-Fi",0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
2282,47526,tt0090888,1986,99,"Drama,Music,Mystery",7.1,16344.0,Crossroads,Drama,0.6635514018691566,0.1036468330134357,0.7011494252873564,0.003898467223551069,"Drama , Music , Mystery",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
2283,47541,tt0090917,1986,91,"Drama,Horror,Sci-Fi",5.5,8041.0,Deadly Friend,Drama,0.6635514018691566,0.08829174664107485,0.517241379310345,0.0007689135778830305,"Drama , Horror , Sci-Fi",0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
2284,47546,tt0090927,1986,125,"Action,Adventure,Drama",5.6,20633.0,The Delta Force,Action,0.6635514018691566,0.15355086372360843,0.5287356321839081,0.0055150703292080865,"Action , Adventure , Drama",1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2285,47549,tt0090930,1986,92,Horror,5.9,10836.0,Demons 2,Horror,0.6635514018691566,0.09021113243761995,0.5632183908045978,0.0018224005632668876,Horror,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2286,47575,tt0090966,1986,103,Comedy,6.2,19309.0,Down and Out in Beverly Hills,Comedy,0.6635514018691566,0.11132437619961612,0.5977011494252875,0.005016030340425179,Comedy,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2287,47576,tt0090967,1986,107,"Comedy,Crime,Drama",7.7,52012.0,Down by Law,Comedy,0.6635514018691566,0.11900191938579653,0.7701149425287358,0.01734239344704711,"Comedy , Crime , Drama",0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2288,47586,tt0090985,1986,101,"Comedy,Drama",7.1,8380.0,The Decline of the American Empire,Comedy,0.6635514018691566,0.10748560460652591,0.7011494252873564,0.0008966889224430044,"Comedy , Drama",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2289,47619,tt0091042,1986,103,Comedy,7.8,358407.0,Ferris Bueller's Day Off,Comedy,0.6635514018691566,0.11132437619961612,0.781609195402299,0.13282831290561134,Comedy,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2290,47625,tt0091055,1986,105,"Action,Adventure,Comedy",5.1,6946.0,Firewalker,Action,0.6635514018691566,0.11516314779270632,0.471264367816092,0.00035618790740169805,"Action , Adventure , Comedy",1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2291,47627,tt0091059,1986,90,"Adventure,Comedy,Family",6.9,48776.0,Flight of the Navigator,Adventure,0.6635514018691566,0.08637236084452975,0.6781609195402301,0.016122685438209126,"Adventure , Comedy , Family",0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2292,47628,tt0091060,1986,111,"Action,Comedy",6.6,7250.0,Flodder,Action,0.6635514018691566,0.126679462571977,0.6436781609195403,0.00047077110724309075,"Action , Comedy",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2293,47629,tt0091064,1986,96,"Drama,Horror,Sci-Fi",7.6,183881.0,The Fly,Drama,0.6635514018691566,0.0978886756238004,0.7586206896551725,0.06704624864403598,"Drama , Horror , Sci-Fi",0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
2294,47637,tt0091080,1986,86,"Horror,Thriller",6.0,46085.0,Friday the 13th Part VI: Jason Lives,Horror,0.6635514018691566,0.07869481765834933,0.574712643678161,0.01510839796856048,"Horror , Thriller",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2295,47639,tt0091083,1986,85,"Horror,Sci-Fi",6.6,26838.0,From Beyond,Horror,0.6635514018691566,0.07677543186180423,0.6436781609195403,0.007853849128602304,"Horror , Sci-Fi",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
2296,47647,tt0091093,1986,95,"Comedy,Crime,Drama",7.0,7077.0,The Fugitives,Comedy,0.6635514018691566,0.09596928982725526,0.6896551724137933,0.00040556422049124524,"Comedy , Crime , Drama",0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2297,47669,tt0091129,1986,94,"Action,Adventure,Comedy",5.9,56631.0,The Golden Child,Action,0.6635514018691566,0.09404990403071016,0.5632183908045978,0.01908337963147932,"Action , Adventure , Comedy",1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2298,47676,tt0091142,1986,87,"Drama,Fantasy,Horror",5.7,8074.0,Gothic,Drama,0.6635514018691566,0.08061420345489444,0.5402298850574714,0.00078135188576055,"Drama , Fantasy , Horror",0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2299,47679,tt0091149,1986,74,"Adventure,Animation,Family",7.2,50314.0,The Great Mouse Detective,Adventure,0.6635514018691566,0.055662188099808066,0.7126436781609197,0.016702385968985645,"Adventure , Animation , Family",0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2300,47685,tt0091159,1986,112,"Comedy,Drama",6.3,13220.0,Gung Ho,Comedy,0.6635514018691566,0.1285988483685221,0.6091954022988506,0.002720974077812546,"Comedy , Drama",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
