,tconst,startYear,runtimeMinutes,genres,averageRating,numVotes
3312526,tt9285882,2019,91,"Crime,Drama,Musical",6.2,7324.0
2226455,tt1985266,2011,102,"Comedy,Drama,Romance",6.7,7323.0
2550665,tt3124456,2013,132,"Mystery,Thriller",8.0,7321.0
371707,tt0092632,1987,114,"Crime,Drama,Horror",6.0,7320.0
239351,tt0060121,1966,105,"Action,Adventure,Crime",6.4,7317.0
1663755,tt1263778,2008,97,"Comedy,Drama",6.6,7317.0
1918338,tt1488181,2012,83,"Adventure,Animation,Comedy",5.7,7317.0
2172380,tt1858481,2013,97,"Action,Mystery,Thriller",5.7,7316.0
1072391,tt0371739,2005,158,"Crime,Drama,Horror",5.3,7315.0
1525153,tt11365186,2022,134,"Drama,Romance",6.7,7312.0
2913947,tt5613834,2017,145,"Action,Comedy",6.3,7310.0
2668478,tt3824412,2015,105,"Comedy,Romance",5.4,7309.0
1954957,tt1523515,2009,100,Comedy,6.1,7308.0
2927793,tt5715410,2017,92,"Adventure,Animation,Comedy",6.1,7308.0
3068259,tt6841122,2020,99,"Drama,Romance,War",7.0,7308.0
2399494,tt2290828,2012,109,"Action,Adventure,Animation",7.6,7305.0
2685698,tt3954660,2016,104,Drama,6.6,7305.0
328304,tt0081793,1980,100,"Horror,Thriller",5.5,7303.0
2362710,tt2215395,2012,87,"Comedy,Crime",6.6,7303.0
428658,tt0107611,1993,114,"Drama,Romance",5.8,7300.0
362999,tt0090327,1986,98,"Horror,Mystery,Thriller",5.6,7298.0
421644,tt0105575,1992,145,Drama,8.7,7298.0
2794674,tt4738360,2016,99,"Action,Drama,History",6.1,7297.0
3073403,tt6878882,2018,142,"Action,Drama,Thriller",6.6,7297.0
1782974,tt1371630,2009,125,"Drama,Fantasy,Romance",6.9,7295.0
1940471,tt1510906,2010,92,Drama,7.3,7294.0
993161,tt0334754,2002,65,"Drama,History,Romance",7.1,7293.0
823451,tt0259534,1993,97,"Action,Adventure,Animation",9.2,7292.0
368175,tt0091653,1986,118,"Comedy,Drama,Romance",5.9,7290.0
2186110,tt1891884,2013,160,"Action,Crime,Drama",4.4,7290.0
492470,tt0127349,2000,105,"Drama,Mystery,Romance",6.5,7289.0
2895279,tt5477566,2016,104,"Biography,Drama",5.9,7288.0
2968426,tt6027478,2016,165,"Action,Crime,Thriller",7.7,7288.0
132642,tt0034012,1941,119,"Drama,Romance",7.1,7287.0
385398,tt0095989,1988,98,"Comedy,Horror,Sci-Fi",5.2,7285.0
483321,tt0124102,1998,85,"Horror,Thriller",5.0,7285.0
286329,tt0071733,1974,138,"Drama,Romance,War",7.6,7284.0
1845368,tt1426378,2009,106,"Drama,Music",7.1,7284.0
2486219,tt2675978,2014,152,"Comedy,Drama,Romance",7.0,7281.0
2743888,tt4374460,2015,108,"Adventure,Comedy,Drama",7.6,7281.0
3123578,tt7342838,2018,126,"Biography,Drama,History",7.3,7281.0
2421826,tt2357377,2013,121,"Action,Thriller",6.6,7280.0
2195486,tt1918965,2011,127,"Action,Crime,Drama",6.3,7279.0
2428052,tt2374902,2013,97,Drama,7.0,7279.0
2772651,tt4578118,2016,102,"Horror,Sci-Fi,Thriller",4.8,7278.0
3259360,tt8752498,2019,83,"Action,Animation,Fantasy",5.9,7278.0
923055,tt0301414,2002,90,"Crime,Drama,Thriller",7.1,7276.0
391465,tt0097635,1989,118,"Drama,Romance",7.5,7274.0
2136114,tt1801071,2014,141,"Adventure,Biography,Comedy",8.1,7274.0
1152797,tt0418586,2007,86,"Comedy,Drama,Romance",6.3,7273.0
159710,tt0040558,1948,107,"Drama,History,War",7.4,7272.0
2783764,tt4662420,2017,86,"Comedy,Drama",5.8,7272.0
