rotten_tomatoes_link,Movie Title,Rotten Tomatoes rating,Studio,original_release_date,Year
m/karate_kid_2010,The Karate Kid,66.0,Sony,2010-06-11,2010
m/storks,Storks,66.0,Warner Bros.,2016-09-23,2016
m/rocketeer,The Rocketeer,65.0,Disney,1991-06-21,1991
m/epic_2013,Epic,65.0,20th Century Fox,2013-05-24,2013
m/babe_pig_in_the_city,Babe: Pig in the City,65.0,Universal,1998-11-25,1998
m/home_alone,Home Alone,65.0,20th Century Fox,1990-11-16,1990
m/dreamer,Dreamer: Inspired by a True Story,64.0,Dreamworks,2005-10-21,2005
m/the_frighteners,The Frighteners,64.0,Universal,1996-07-19,1996
m/madagascar_escape_2_africa,Madagascar: Escape 2 Africa,64.0,Paramount,2008-11-07,2008
m/miss_peregrines_home_for_peculiar_children,Miss Peregrine's Home for Peculiar Children,64.0,20th Century Fox,2016-09-30,2016
m/robots,Robots,64.0,20th Century Fox,2005-03-11,2005
m/1097046-dinosaur,Dinosaur,64.0,Buena Vista,2000-05-19,2000
m/peter_rabbit_2018,Peter Rabbit,63.0,Columbia Pictures,2018-02-09,2018
m/sandlot,The Sandlot,63.0,20th Century Fox,1993-04-01,1993
m/muppets_from_space,Muppets From Space,63.0,Columbia Pictures,1999-07-14,1999
m/ant_bully,The Ant Bully,62.0,Warner Bros.,2006-07-28,2006
m/paulie,Paulie,62.0,Dreamworks,1998-04-17,1998
m/hotel_transylvania_3_summer_vacation,Hotel Transylvania 3: Summer Vacation,62.0,Sony,2018-07-13,2018
m/the-tigger-movie,The Tigger Movie,62.0,Buena Vista,2000-02-11,2000
m/journey_to_the_center_of_the_earth_2008,Journey to the Center of the Earth,61.0,Warner Bros.,2008-07-11,2008
m/10005499-oliver_twist,Oliver Twist,61.0,Sony,2005-09-30,2005
m/alexander_and_the_terrible_horrible_no_good_very_bad_day,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",61.0,Disney,2014-10-10,2014
m/the_grinch,The Grinch,60.0,Universal,2018-11-09,2018
m/tuck_everlasting,Tuck Everlasting,60.0,Buena Vista,2002-10-22,2002
m/recess_schools_out,Recess: School's Out,60.0,Buena Vista,2001-02-16,2001
