,index,tconst,Movie title,Year,Genres,IMDb rating,Nb votes,Rotten Tomatoes rating,Genre
6215,2555,tt0095348,I'm Gonna Git You Sucka,1988,"Action,Comedy,Crime",6.6,13777.0,,Action
6216,2555,tt0095348,I'm Gonna Git You Sucka,1988,"Action,Comedy,Crime",6.6,13777.0,,Comedy
6217,2555,tt0095348,I'm Gonna Git You Sucka,1988,"Action,Comedy,Crime",6.6,13777.0,,Crime
6218,2556,tt0095379,Intruder,1989,"Horror,Mystery",6.1,9727.0,,Horror
6219,2556,tt0095379,Intruder,1989,"Horror,Mystery",6.1,9727.0,,Mystery
6220,2557,tt0095403,Police Story 2,1988,"Action,Comedy,Crime",7.1,20269.0,,Action
6221,2557,tt0095403,Police Story 2,1988,"Action,Comedy,Crime",7.1,20269.0,,Comedy
6222,2557,tt0095403,Police Story 2,1988,"Action,Comedy,Crime",7.1,20269.0,,Crime
6223,2558,tt0095409,Johnny Be Good,1988,"Comedy,Sport",4.6,6888.0,,Comedy
6224,2558,tt0095409,Johnny Be Good,1988,"Comedy,Sport",4.6,6888.0,,Sport
6225,2559,tt0095444,Killer Klowns from Outer Space,1988,"Comedy,Horror,Sci-Fi",6.2,39477.0,7.5,Comedy
6226,2559,tt0095444,Killer Klowns from Outer Space,1988,"Comedy,Horror,Sci-Fi",6.2,39477.0,7.5,Horror
6227,2559,tt0095444,Killer Klowns from Outer Space,1988,"Comedy,Horror,Sci-Fi",6.2,39477.0,7.5,Sci-Fi
6228,2560,tt0095467,A Short Film About Love,1988,"Drama,Romance",8.2,23683.0,,Drama
6229,2560,tt0095467,A Short Film About Love,1988,"Drama,Romance",8.2,23683.0,,Romance
6230,2561,tt0095468,A Short Film About Killing,1988,"Crime,Drama",8.0,20480.0,,Crime
6231,2561,tt0095468,A Short Film About Killing,1988,"Crime,Drama",8.0,20480.0,,Drama
6232,2562,tt0095484,Lady in White,1988,"Fantasy,Horror,Mystery",6.5,7392.0,6.9,Fantasy
6233,2562,tt0095484,Lady in White,1988,"Fantasy,Horror,Mystery",6.5,7392.0,6.9,Horror
6234,2562,tt0095484,Lady in White,1988,"Fantasy,Horror,Mystery",6.5,7392.0,6.9,Mystery
6235,2563,tt0095488,The Lair of the White Worm,1988,"Comedy,Horror",6.0,13110.0,6.7,Comedy
6236,2563,tt0095488,The Lair of the White Worm,1988,"Comedy,Horror",6.0,13110.0,6.7,Horror
6237,2564,tt0095489,The Land Before Time,1988,"Adventure,Animation,Drama",7.4,89664.0,,Adventure
6238,2564,tt0095489,The Land Before Time,1988,"Adventure,Animation,Drama",7.4,89664.0,,Animation
6239,2564,tt0095489,The Land Before Time,1988,"Adventure,Animation,Drama",7.4,89664.0,,Drama
6240,2565,tt0095497,The Last Temptation of Christ,1988,Drama,7.5,57997.0,8.1,Drama
6241,2566,tt0095519,License to Drive,1988,Comedy,6.3,21045.0,1.7,Comedy
6242,2567,tt0095560,Mac and Me,1988,"Adventure,Comedy,Family",3.3,14689.0,,Adventure
6243,2567,tt0095560,Mac and Me,1988,"Adventure,Comedy,Family",3.3,14689.0,,Comedy
6244,2567,tt0095560,Mac and Me,1988,"Adventure,Comedy,Family",3.3,14689.0,,Family
6245,2568,tt0095583,Maniac Cop,1988,"Action,Crime,Horror",6.0,17664.0,5.0,Action
6246,2568,tt0095583,Maniac Cop,1988,"Action,Crime,Horror",6.0,17664.0,5.0,Crime
6247,2568,tt0095583,Maniac Cop,1988,"Action,Crime,Horror",6.0,17664.0,5.0,Horror
6248,2569,tt0095593,Married to the Mob,1988,"Comedy,Crime,Romance",6.2,18179.0,8.9,Comedy
