rotten_tomatoes_link,Movie Title,Year,Studio,IMDb rating,Rotten Tomatoes rating
m/muppet_christmas_carol,The Muppet Christmas Carol,1992,Buena Vista,7.7,76.0
m/zathura,Zathura: A Space Adventure,2005,Sony,6.2,76.0
m/nanny_mcphee_returns,Nanny McPhee Returns,2010,Universal,6.1,76.0
m/rugrats_in_paris,Rugrats in Paris - The Movie,2000,Paramount,6.1,76.0
m/teachers_pet_2004,Teacher's Pet,2004,Buena Vista,,76.0
m/over_the_hedge,Over the Hedge,2006,Dreamworks,6.7,75.0
m/despicable_me_2,Despicable Me 2,2013,Universal,7.3,75.0
m/monster_house,Monster House,2006,Sony,6.6,75.0
m/cars,Cars,2006,Buena Vista,7.2,75.0
m/smallfoot,Smallfoot,2018,Warner Bros.,6.6,75.0
m/rise_of_the_guardians_2012,Rise of the Guardians,2012,Paramount,7.2,75.0
m/fantastic_beasts_and_where_to_find_them,Fantastic Beasts and Where to Find Them,2016,Warner Bros.,7.2,74.0
m/the_bfg_2016,The BFG,2016,Disney,6.3,74.0
m/jimmy_neutron_boy_genius,Jimmy Neutron - Boy Genius,2001,Paramount,,74.0
m/the_adventures_of_tintin,The Adventures of Tintin,2011,Paramount,7.3,74.0
m/water_horse,The Water Horse: Legend of the Deep,2007,Sony,6.4,74.0
m/my_dog_skip,My Dog Skip,2000,Warner Bros.,7.0,73.0
m/1142872-sky_high,Sky High,2005,Buena Vista,6.3,73.0
m/monsters_vs_aliens,Monsters vs. Aliens,2009,Paramount,,73.0
m/nanny_mcphee,Nanny McPhee,2006,Universal,6.6,73.0
m/christopher_robin,Christopher Robin,2018,Disney,7.2,73.0
m/where_the_wild_things_are,Where the Wild Things Are,2009,Warner Bros.,6.7,73.0
m/flushed_away,Flushed Away,2006,Paramount,6.6,73.0
m/lemony_snicket,Lemony Snicket's A Series of Unfortunate Events,2004,Paramount,,72.0
m/megamind,Megamind,2010,Paramount,7.3,72.0
m/labyrinth,Labyrinth,1986,Sony,7.3,72.0
m/rio,Rio,2011,20th Century Fox,6.9,72.0
m/hannah-montanamiley-cyrus-best-of-both-worlds-concert-tour,Hannah Montana/Miley Cyrus: Best of Both Worlds Concert Tour,2008,Disney,,71.0
m/1073037-hunchback_of_notre_dame,The Hunchback of Notre Dame,1996,Disney,7.0,71.0
m/the-croods,The Croods,2013,20th Century Fox,7.2,71.0
m/into_the_woods_2014,Into the Woods,2014,Disney,5.9,71.0
m/mrs_doubtfire,Mrs. Doubtfire,1993,20th Century Fox,7.1,71.0
m/cars_3,Cars 3,2017,Disney,6.7,70.0
m/spirit_stallion_of_the_cimarron,Spirit - Stallion of the Cimarron,2002,Dreamworks,,70.0
m/ramona_and_beezus,Ramona and Beezus,2010,20th Century Fox,6.5,70.0
m/cloudy_with_a_chance_of_meatballs_2_2013,Cloudy with a Chance of Meatballs 2,2013,Sony,6.3,70.0
m/piglets_big_movie,Piglet's Big Movie,2003,Disney,6.1,70.0
m/1153951-curious_george,Curious George,2006,Universal,6.5,70.0
m/1001193-around_the_world_in_80_days,Around the World in 80 Days,1956,United Artists,6.7,69.0
m/treasure_planet,Treasure Planet,2002,Buena Vista,7.2,69.0
m/pokemon_detective_pikachu,Pokémon Detective Pikachu,2019,Warner Bros.,6.5,68.0
m/spongebob_squarepants_movie,The SpongeBob SquarePants Movie,2004,Paramount,7.1,68.0
m/chronicles_of_narnia_prince_caspian,The Chronicles of Narnia: Prince Caspian,2008,Disney,6.5,67.0
m/meet_the_robinsons,Meet the Robinsons,2007,Buena Vista,6.8,67.0
m/stuart_little,Stuart Little,1999,Columbia Pictures,6.0,67.0
m/dolphin_tale_2,Dolphin Tale 2,2014,Warner Bros.,6.4,66.0
m/the_house_with_a_clock_in_its_walls,The House with a Clock in Its Walls,2018,Universal,6.0,66.0
m/turbo_2013,Turbo,2013,Dreamworks,6.4,66.0
m/karate_kid_2010,The Karate Kid,2010,Sony,6.2,66.0
m/storks,Storks,2016,Warner Bros.,6.8,66.0
m/rocketeer,The Rocketeer,1991,Disney,6.5,65.0
m/epic_2013,Epic,2013,20th Century Fox,6.6,65.0
m/babe_pig_in_the_city,Babe: Pig in the City,1998,Universal,5.8,65.0
m/home_alone,Home Alone,1990,20th Century Fox,7.7,65.0
m/dreamer,Dreamer: Inspired by a True Story,2005,Dreamworks,,64.0
m/the_frighteners,The Frighteners,1996,Universal,7.1,64.0
m/madagascar_escape_2_africa,Madagascar: Escape 2 Africa,2008,Paramount,6.6,64.0
m/miss_peregrines_home_for_peculiar_children,Miss Peregrine's Home for Peculiar Children,2016,20th Century Fox,6.7,64.0
m/robots,Robots,2005,20th Century Fox,6.4,64.0
m/1097046-dinosaur,Dinosaur,2000,Buena Vista,6.4,64.0
m/peter_rabbit_2018,Peter Rabbit,2018,Columbia Pictures,6.6,63.0
m/sandlot,The Sandlot,1993,20th Century Fox,7.8,63.0
