,nconst,category,Staff name,IMDb rating,Nb movies,Ranking
407,nm0397171,actress,Bryce Dallas Howard,6.9,1,0.1
627,nm3237775,actress,Mackenzie Foy,8.6,1,0.1
559,nm1208167,actress,Diane Kruger,8.3,1,0.1
533,nm0931404,actress,Olivia Williams,8.2,1,0.1
605,nm2264184,actress,Elissa Knight,8.4,1,0.1
577,nm1411676,actress,Mindy Kaling,8.2,1,0.1
183,nm0000906,actress,Annette Bening,8.4,1,0.1
187,nm0000966,actress,Lorraine Bracco,8.7,1,0.1
188,nm0000971,actress,Nicoletta Braschi,8.6,1,0.1
191,nm0000995,actress,Ellen Burstyn,8.3,1,0.1
117,nm0000456,actress,Holly Hunter,8.0,1,0.1
120,nm0000463,actress,Famke Janssen,7.3,1,0.1
127,nm0000497,actress,Jennifer Lien,8.5,1,0.1
130,nm0000510,actress,Andie MacDowell,8.1,1,0.1
134,nm0000521,actress,Sophie Marceau,8.4,1,0.1
135,nm0000531,actress,Frances McDormand,8.1,1,0.1
142,nm0000566,actress,Julia Ormond,7.8,1,0.1
501,nm0842770,actress,Tilda Swinton,7.8,1,0.1
505,nm0851582,actress,Audrey Tautou,8.3,1,0.1
516,nm0893941,actress,Maribel Verdú,8.2,1,0.1
522,nm0913488,actress,Kerry Washington,8.4,1,0.1
600,nm2020146,actress,Daniella Kertesz,7.0,1,0.1
599,nm2017943,actress,Hayley Atwell,6.9,1,0.1
525,nm0915865,actress,Jacki Weaver,7.7,1,0.1
596,nm1913734,actress,Rooney Mara,7.8,1,0.1
601,nm2057859,actress,Andrea Riseborough,7.7,1,0.1
602,nm2143282,actress,Lupita Nyong'o,7.3,1,0.1
364,nm0254402,actor,Chris Elliott,8.1,1,0.1
44,nm0000179,actor,Jude Law,7.6,1,0.1
369,nm0272401,actor,Craig Ferguson,8.1,1,0.1
580,nm1500155,actor,Robert Pattinson,7.9,1,0.1
563,nm1241511,actor,Orto Ignatiussen,7.7,1,0.1
582,nm1542291,actor,Christopher Carley,8.1,1,0.1
565,nm1249574,actor,Phellipe Haagensen,8.6,1,0.1
566,nm1265802,actor,Josh Gad,7.4,1,0.1
569,nm1300009,actor,Adil Hussain,7.9,1,0.1
581,nm1517976,actor,Chris Pine,7.4,1,0.1
570,nm1310525,actor,Lee Sun-kyun,8.5,1,0.1
572,nm1339223,actor,Ty Simpkins,6.9,1,0.1
573,nm1347153,actor,Tyler Perry,8.1,1,0.1
575,nm1395602,actor,Allen Leech,8.0,1,0.1
557,nm1183149,actor,Edgar Ramírez,8.0,1,0.1
552,nm1129884,actor,Leandro Firmino,8.6,1,0.1
556,nm1179105,actor,Alexandre Rodrigues,8.6,1,0.1
555,nm1176985,actor,Dave Bautista,7.6,1,0.1
534,nm0934902,actor,Paul Winfield,8.1,1,0.1
535,nm0938950,actor,Benedict Wong,7.5,1,0.1
536,nm0941777,actor,Sam Worthington,7.8,1,0.1
539,nm0947447,actor,Donnie Yen,7.8,1,0.1
541,nm0997115,actor,Miyu Irino,8.6,1,0.1
542,nm1015684,actor,Corey Stoll,7.3,1,0.1
589,nm1706767,actor,Jonah Hill,8.2,1,0.1
588,nm1663205,actor,Sharlto Copley,7.9,1,0.1
584,nm1569276,actor,Chadwick Boseman,7.3,1,0.1
586,nm1659221,actor,Sebastian Stan,7.8,1,0.1
595,nm1886602,actor,Miles Teller,8.5,1,0.1
532,nm0931324,actor,Michael Kenneth Williams,8.1,1,0.1
530,nm0929489,actor,Tom Wilkinson,8.3,1,0.1
499,nm0835016,actor,Mark Strong,7.6,1,0.1
531,nm0929609,actor,Fred Willard,8.4,1,0.1
475,nm0725220,actor,Daniel Richter,8.3,1,0.1
611,nm2401020,actor,Will Poulter,8.0,1,0.1
476,nm0725543,actor,Don Rickles,8.3,1,0.1
610,nm2395586,actor,Christopher Mintz-Plasse,8.1,1,0.1
478,nm0738918,actor,Lou Romano,8.1,1,0.1
479,nm0744834,actor,Eli Roth,8.3,1,0.1
480,nm0748620,actor,Paul Rudd,7.3,1,0.1
608,nm2353862,actor,Dev Patel,8.0,1,0.1
606,nm2271261,actor,Jason Cope,7.9,1,0.1
482,nm0749363,actor,Rufus,8.3,1,0.1
486,nm0753314,actor,Mark Rylance,7.8,1,0.1
489,nm0785227,actor,Andy Serkis,7.8,1,0.1
490,nm0788335,actor,Michael Shannon,7.1,1,0.1
491,nm0795661,actor,Saurabh Shukla,8.0,1,0.1
604,nm2253071,actor,Charlie Tahan,7.2,1,0.1
494,nm0799777,actor,J.K. Simmons,8.5,1,0.1
496,nm0814280,actor,Song Kang-ho,8.5,1,0.1
498,nm0832792,actor,Ken Stott,7.8,1,0.1
547,nm1082477,actor,Omar Sy,8.5,1,0.1
553,nm1159180,actor,Ed Helms,7.7,1,0.1
527,nm0920992,actor,David Wenham,7.6,1,0.1
616,nm2933542,actor,Boyd Holbrook,8.1,1,0.1
390,nm0334318,actor,Stephen Graham,8.2,1,0.1
424,nm0479471,actor,Shia LaBeouf,7.0,1,0.1
445,nm0577828,actor,Joseph Melito,8.0,1,0.1
452,nm0618690,actor,Matheus Nachtergaele,8.6,1,0.1
455,nm0638824,actor,Michael Nyqvist,7.4,1,0.1
456,nm0651660,actor,Holmes Osborne,8.0,1,0.1
457,nm0652663,actor,Patton Oswalt,8.1,1,0.1
458,nm0654110,actor,Clive Owen,8.0,1,0.1
459,nm0654295,actor,Alfie Allen,7.4,1,0.1
462,nm0680983,actor,Elliot Page,8.8,1,0.1
615,nm2676147,actor,Jonathan Groff,7.4,1,0.1
545,nm1071252,actor,Alexander Gould,8.2,1,0.1
613,nm2554352,actor,T.J. Miller,8.0,1,0.1
