tconst,Year,IMDb rating,Movie title,rotten_tomatoes_link,movie_title,tomatometer_status,Rotten Tomatoes rating
tt0029843,1938,7.9,The Adventures of Robin Hood,m/1000355-adventures_of_robin_hood,The Adventures of Robin Hood,Certified-Fresh,100.0
tt0029850,1938,7.5,Alexander Nevsky,,,,
tt0029850,1938,7.5,Alexander Nevsky,,,,
tt0029947,1938,7.8,Bringing Up Baby,m/bringing_up_baby,Bringing Up Baby,Certified-Fresh,93.0
tt0029957,1938,7.5,La Bête Humaine,,,,
tt0029992,1938,7.5,A Christmas Carol,m/1004125-christmas_carol,A Christmas Carol,Fresh,100.0
tt0030241,1938,7.7,Holiday,m/holiday,Holiday,Fresh,100.0
tt0030287,1938,7.4,Jezebel,,,,
tt0030341,1938,7.8,The Lady Vanishes,m/1011813-lady_vanishes,The Lady Vanishes,Certified-Fresh,98.0
tt0030637,1938,7.8,Pygmalion,,,,
tt0030643,1938,7.7,Port of Shadows,,,,
tt0030993,1938,7.8,You Can't Take It with You,m/you_cant_take_it_with_you_1938,You Can't Take It With You,Certified-Fresh,93.0
tt0031022,1939,7.3,The Adventures of Sherlock Holmes,,,,
tt0031047,1939,7.4,Another Thin Man,m/another_thin_man,Another Thin Man,Fresh,82.0
tt0031060,1939,6.8,At the Circus,,,,
tt0031088,1939,7.6,Beau Geste,,,,
tt0031210,1939,7.5,Dark Victory,m/dark_victory,Dark Victory,Fresh,88.0
tt0031225,1939,7.6,Destry Rides Again,m/destry_rides_again,Destry Rides Again,Fresh,96.0
tt0031252,1939,7.0,Drums Along the Mohawk,m/drums_along_the_mohawk,Drums Along the Mohawk,Fresh,82.0
tt0031334,1939,7.5,The Four Feathers,m/1007745-four_feathers,The Four Feathers,Fresh,100.0
tt0031381,1939,8.2,Gone with the Wind,,,,
tt0031381,1939,8.2,Gone with the Wind,,,,
tt0031381,1939,8.2,Gone with the Wind,,,,
tt0031385,1939,7.9,"Goodbye, Mr. Chips",,,,
tt0031385,1939,7.9,"Goodbye, Mr. Chips",,,,
tt0031398,1939,7.2,Gunga Din,m/gunga_din,Gunga Din,Fresh,92.0
tt0031448,1939,7.4,The Hound of the Baskervilles,m/1010002-hound_of_the_baskervilles,The Hound of the Baskervilles,Fresh,91.0
tt0031455,1939,7.8,The Hunchback of Notre Dame,m/1010215-hunchback_of_notre_dame,The Hunchback of Notre Dame,Fresh,93.0
tt0031505,1939,6.3,Jamaica Inn,m/1010889-jamaica_inn,Jamaica Inn,Rotten,57.0
tt0031514,1939,7.7,Le Jour Se Leve,,,,
